WKT	name	beslissing	pointid	Naam	openheid_sbp	sample_order	batch	zichtbaarheid	wegtype
POINT (4.629495 50.846896 0.0)	NA	behouden	Zn_3758.2.5	Zandleemstreek	OL binnen plan	21	eerste set	0.717406240945607	tertiary
POINT (3.242639 50.866413 0.0)	NA	behouden	Zn_37835	Zandleemstreek	OL buiten plan	44	eerste set	0.604147414487672	track
POINT (4.619216 50.824899 0.0)	NA	behouden	Zn_3804.15	Zandleemstreek	OL binnen plan	38	eerste set	0.403291728231174	track
POINT (2.871788 50.77116 0.0)	NA	behouden	Zn_38656.2	Zandleemstreek	OL binnen plan	14	eerste set	0.659234099515686	unclassified
POINT (2.648491 50.861849 0.0)	NA	behouden	Zn_38769.5.2	Zandleemstreek	OL buiten plan	4	eerste set	0.648623139694727	tertiary
POINT (3.390228 51.034193 0.0)	NA	behouden	Zn_38968.1	Zandleemstreek	HOL buiten plan	25	eerste set	0.44054297015579	unclassified
POINT (2.622413 50.887622 0.0)	NA	vervanging	Zn_39074.14	Zandleemstreek	OL binnen plan	59	reserve set	0.494801849807734	tertiary
POINT (2.643971 50.982528 0.0)	NA	behouden	Zn_39152.1.7	Zandleemstreek	OL binnen plan	39	eerste set	0.662771086122698	unclassified
POINT (3.092627 50.924747 0.0)	NA	vervanging	Zn_40654.1.3	Zandleemstreek	HOL buiten plan	51	reserve set	0.681735354738887	track
POINT (2.642556 50.963757 0.0)	NA	behouden	Zn_41561.8	Zandleemstreek	OL binnen plan	23	eerste set	0.659535119652466	track
POINT (3.804306 50.955193 0.0)	NA	behouden	Zn_41728.1.1	Zandleemstreek	HOL binnen plan	51	eerste set	0.18603044452088	unclassified
POINT (3.570043 50.843656 0.0)	NA	behouden	Zn_42291.6	Zandleemstreek	OL buiten plan	2	eerste set	0.78649036233318	unclassified
POINT (3.417364 50.757819 0.0)	NA	behouden	Zn_42598	Zandleemstreek	OL binnen plan	55	eerste set	0.604674199727002	unclassified
POINT (3.601205 50.876927 0.0)	NA	behouden	Zn_42724.9	Zandleemstreek	OL binnen plan	20	eerste set	0.787468677777654	unclassified
POINT (3.372164 50.966036 0.0)	NA	behouden	Zn_42819.1	Zandleemstreek	OL buiten plan	39	eerste set	0.533708702484612	unclassified
POINT (2.695077 51.002895 0.0)	NA	behouden	Zn_42945.1.1	Zandleemstreek	OL binnen plan	41	eerste set	0.620176736770418	unclassified
POINT (2.623022 50.915464 0.0)	NA	behouden	Zn_43074.1	Zandleemstreek	HOL binnen plan	8	eerste set	0.477718957046309	unclassified
POINT (4.912446 50.900282 0.0)	NA	behouden	Zn_43363.4	Zandleemstreek	HOL buiten plan	12	eerste set	0.418041714932562	track
POINT (3.921257 50.772054 0.0)	NA	behouden	Zn_44403.4	Zandleemstreek	HOL binnen plan	45	eerste set	0.275809700311069	unclassified
POINT (2.98975 50.862082 0.0)	NA	behouden	Zn_4451.2	Zandleemstreek	HOL buiten plan	17	eerste set	0.679628213781518	unclassified
POINT (3.568879 50.871267 0.0)	NA	vervanging	Zn_44800.3.3	Zandleemstreek	HOL binnen plan	61	reserve set	0.644709877916755	unclassified
POINT (4.015848 50.895167 0.0)	NA	behouden	Zn_44969.1.5	Zandleemstreek	HOL buiten plan	7	eerste set	0.451304440045201	unclassified
POINT (3.328234 51.043077 0.0)	NA	behouden	Zn_45358.1.2	Zandleemstreek	OL buiten plan	1	eerste set	0.589397427786193	unclassified
POINT (3.352137 51.022295 0.0)	NA	vervanging	Zn_45665.1.3	Zandleemstreek	HOL buiten plan	56	reserve set	0.406452439667137	track
POINT (4.096175 50.809627 0.0)	NA	behouden	Zn_46140.1	Zandleemstreek	OL binnen plan	52	eerste set	0.468462587840802	unclassified
POINT (3.007819 50.895761 0.0)	NA	behouden	Zn_46170.2.1	Zandleemstreek	HOL buiten plan	31	eerste set	0.200629921153978	track
POINT (2.759484 50.800379 0.0)	NA	behouden	Zn_46299.9	Zandleemstreek	OL binnen plan	22	eerste set	0.508272500927968	track
POINT (3.002587 50.854725 0.0)	NA	behouden	Zn_46371.1.1	Zandleemstreek	HOL buiten plan	44	eerste set	0.364008600383255	unclassified
POINT (4.965865 50.826307 0.0)	NA	behouden	Zn_4647.8	Zandleemstreek	OL binnen plan	51	eerste set	0.569153823588728	track
POINT (4.256152 50.770674 0.0)	NA	behouden	Zn_46987.4	Zandleemstreek	OL buiten plan	48	eerste set	0.474257225473508	track
POINT (2.824035 50.985798 0.0)	NA	behouden	Zn_47748.8	Zandleemstreek	HOL binnen plan	10	eerste set	0.46462458109701	track
POINT (3.08407 50.794687 0.0)	NA	behouden	Zn_47936.1	Zandleemstreek	HOL buiten plan	1	eerste set	0.626347649574113	track
POINT (4.60237 50.812921 0.0)	NA	vervanging	Zn_48113.1	Zandleemstreek	HOL binnen plan	52	reserve set	0.33322929139903	track
POINT (2.815435 50.827945 0.0)	NA	behouden	Zn_48774.8	Zandleemstreek	OL binnen plan	33	eerste set	0.737950865279773	unclassified
POINT (3.539268 50.790781 0.0)	NA	behouden	Zn_50440.5	Zandleemstreek	HOL binnen plan	11	eerste set	0.756313093622466	unclassified
POINT (3.586544 50.822131 0.0)	NA	behouden	Zn_50441.1.3	Zandleemstreek	OL buiten plan	18	eerste set	0.737348825006222	unclassified
POINT (2.882608 50.781577 0.0)	NA	behouden	Zn_51451.1	Zandleemstreek	HOL binnen plan	29	eerste set	0.486523796046684	track
POINT (4.571205 50.803301 0.0)	NA	behouden	Zn_52194.2	Zandleemstreek	OL binnen plan	53	eerste set	0.593762219769298	track
POINT (3.102808 50.837487 0.0)	NA	behouden	Zn_52249.3	Zandleemstreek	OL buiten plan	19	eerste set	0.461313359592588	unclassified
POINT (3.566274 50.911519 0.0)	NA	vervanging	Zn_53201.3	Zandleemstreek	HOL binnen plan	56	reserve set	0.64305426716453	unclassified
POINT (3.979918 50.831658 0.0)	NA	behouden	Zn_53732.7	Zandleemstreek	OL buiten plan	38	eerste set	0.455443466925633	track
POINT (4.079677 50.770012 0.0)	NA	behouden	Zn_54324.10	Zandleemstreek	HOL binnen plan	9	eerste set	0.518958715783073	track
POINT (3.562768 50.896216 0.0)	NA	behouden	Zn_55796.2	Zandleemstreek	OL binnen plan	43	eerste set	0.850306631327444	track
POINT (5.781885 51.090898 0.0)	NA	behouden	Zn_56164.18	Zandleemstreek	HOL binnen plan	6	eerste set	0.553576031510963	unclassified
POINT (5.772396 51.084103 0.0)	NA	behouden	Zn_56194.1.1	Zandleemstreek	HOL binnen plan	22	eerste set	0.588494367375902	unclassified
POINT (4.575892 50.824794 0.0)	NA	behouden	Zn_58403.2	Zandleemstreek	OL binnen plan	1	eerste set	0.431888641223843	unclassified
POINT (3.043006 50.815488 0.0)	NA	behouden	Zn_58710.9	Zandleemstreek	OL buiten plan	51	eerste set	0.711385838210279	track
POINT (4.237165 50.940433 0.0)	NA	behouden	Zn_5895.8	Zandleemstreek	OL buiten plan	20	eerste set	0.602567058769726	track
POINT (4.603634 50.846101 0.0)	NA	behouden	Zn_59.3	Zandleemstreek	HOL binnen plan	42	eerste set	0.426018748556877	track
POINT (4.136513 50.781683 0.0)	NA	behouden	Zn_59061.3	Zandleemstreek	HOL binnen plan	32	eerste set	0.393282808683692	track
POINT (3.943086 50.856561 0.0)	NA	behouden	Zn_59178.10	Zandleemstreek	HOL buiten plan	6	eerste set	0.390046842213487	track
POINT (2.66278 50.890212 0.0)	NA	behouden	Zn_59660.5	Zandleemstreek	HOL binnen plan	48	eerste set	0.562305615477303	track
POINT (3.705837 50.818766 0.0)	NA	behouden	Zn_60164.3	Zandleemstreek	HOL binnen plan	15	eerste set	0.306513754261115	track
POINT (3.212678 50.90329 0.0)	NA	vervanging	Zn_60212	Zandleemstreek	HOL buiten plan	61	reserve set	0.343539231083226	unclassified
POINT (3.613807 50.786358 0.0)	NA	behouden	Zn_61210.9	Zandleemstreek	HOL binnen plan	12	eerste set	0.558693373836122	unclassified
POINT (3.545274 50.797737 0.0)	NA	behouden	Zn_61289.6	Zandleemstreek	HOL binnen plan	26	eerste set	0.692271059525587	unclassified
POINT (2.823144 50.801367 0.0)	NA	behouden	Zn_62288.3	Zandleemstreek	OL binnen plan	29	eerste set	0.572841320264071	unclassified
POINT (2.834485 50.802075 0.0)	NA	behouden	Zn_62291.1.3	Zandleemstreek	OL binnen plan	36	eerste set	0.715901140261727	unclassified
POINT (3.315896 50.975218 0.0)	NA	behouden	Zn_62559.2	Zandleemstreek	OL buiten plan	6	eerste set	0.609340011846853	unclassified
POINT (4.033024 50.903108 0.0)	NA	behouden	Zn_62598.1	Zandleemstreek	HOL buiten plan	38	eerste set	0.271745928464744	track
POINT (2.941946 50.815195 0.0)	NA	vervanging	Zn_62685.1.2	Zandleemstreek	HOL buiten plan	60	reserve set	0.575550501494995	unclassified
POINT (2.846836 50.780428 0.0)	NA	behouden	Zn_62824.5.7	Zandleemstreek	OL binnen plan	50	eerste set	0.643731562472277	tertiary
POINT (3.949938 50.866799 0.0)	NA	behouden	Zn_63523.11	Zandleemstreek	OL buiten plan	27	eerste set	0.701075898525979	track
POINT (3.257201 50.980467 0.0)	NA	behouden	Zn_64276.2	Zandleemstreek	OL buiten plan	16	eerste set	0.563660206092752	unclassified
POINT (4.520266 50.933153 0.0)	NA	vervanging	Zn_65575	Zandleemstreek	HOL buiten plan	55	reserve set	0.578033917623343	track
POINT (4.033563 50.889512 0.0)	NA	vervanging	Zn_66105.3	Zandleemstreek	HOL buiten plan	54	reserve set	0.266854351242301	track
POINT (3.645786 50.803756 0.0)	NA	behouden	Zn_71412.1	Zandleemstreek	OL binnen plan	31	eerste set	0.298310955534279	unclassified
POINT (5.026278 50.850615 0.0)	NA	behouden	Zn_71703.1	Zandleemstreek	HOL binnen plan	28	eerste set	0.611522407838393	unclassified
POINT (4.141868 50.837214 0.0)	NA	behouden	Zn_72666.1	Zandleemstreek	HOL buiten plan	39	eerste set	0.369050687674076	track
POINT (3.849123 50.882431 0.0)	NA	behouden	Zn_73717.14	Zandleemstreek	HOL buiten plan	9	eerste set	0.588193347239143	track
POINT (2.807173 50.96523 0.0)	NA	behouden	Zn_73848.21	Zandleemstreek	OL binnen plan	13	eerste set	0.841050262121846	unclassified
POINT (2.806554 50.862919 0.0)	NA	behouden	Zn_75571.1	Zandleemstreek	OL buiten plan	24	eerste set	0.563434440990177	track
POINT (3.834127 50.985549 0.0)	NA	behouden	Zn_78379.1	Zandleemstreek	HOL buiten plan	41	eerste set	0.156530471117889	track
POINT (4.633402 50.83885 0.0)	NA	behouden	Zn_78494.10	Zandleemstreek	HOL binnen plan	50	eerste set	0.309523955628795	track
POINT (3.416284 50.770425 0.0)	NA	behouden	Zn_78785.2	Zandleemstreek	HOL binnen plan	33	eerste set	0.734865408877932	unclassified
POINT (2.874758 50.778384 0.0)	NA	vervanging	Zn_78905.5	Zandleemstreek	OL binnen plan	58	reserve set	0.593987984871853	unclassified
POINT (4.053332 51.012742 0.0)	NA	behouden	Zn_7926.10	Zandleemstreek	HOL binnen plan	27	eerste set	0.681584844670623	track
POINT (2.945434 50.798543 0.0)	NA	behouden	Zn_80725.2	Zandleemstreek	OL buiten plan	42	eerste set	0.793790100649738	tertiary
POINT (4.263826 50.941529 0.0)	NA	behouden	Zn_80740.1	Zandleemstreek	HOL buiten plan	23	eerste set	0.458453668293283	track
POINT (2.700618 50.835023 0.0)	NA	vervanging	Zn_81227.8	Zandleemstreek	HOL binnen plan	63	reserve set	0.561553065135398	track
POINT (5.180808 50.847904 0.0)	NA	behouden	Zn_81508.2	Zandleemstreek	HOL buiten plan	14	eerste set	0.211617156145916	track
POINT (5.012226 50.965245 0.0)	NA	behouden	Zn_82680.3	Zandleemstreek	HOL binnen plan	49	eerste set	0.760828395674025	track
POINT (5.002862 50.966547 0.0)	NA	behouden	Zn_82683.1	Zandleemstreek	OL binnen plan	11	eerste set	0.71921236176616	track
POINT (3.044542 50.805813 0.0)	NA	behouden	Zn_84722.3	Zandleemstreek	OL buiten plan	12	eerste set	0.692346314559855	track
POINT (3.030304 50.826831 0.0)	NA	behouden	Zn_86559.13	Zandleemstreek	OL buiten plan	43	eerste set	0.465151366336335	unclassified
POINT (4.261184 50.904978 0.0)	NA	behouden	Zn_8668.9	Zandleemstreek	OL binnen plan	17	eerste set	0.602717568838033	unclassified
POINT (5.733105 50.942757 0.0)	NA	behouden	Zn_86708.4	Zandleemstreek	HOL buiten plan	36	eerste set	0.573142340401	track
POINT (4.072917 50.780282 0.0)	NA	behouden	Zn_87488.5	Zandleemstreek	HOL binnen plan	46	eerste set	0.739455965963524	unclassified
POINT (5.07824 50.959645 0.0)	NA	behouden	Zn_88882	Zandleemstreek	HOL binnen plan	20	eerste set	0.252781659848519	track
POINT (2.952352 50.890292 0.0)	NA	behouden	Zn_88994.5.3	Zandleemstreek	OL buiten plan	8	eerste set	0.713869254338568	tertiary
POINT (3.55086 50.813801 0.0)	NA	behouden	Zn_89900.15	Zandleemstreek	OL buiten plan	32	eerste set	0.762408751391881	track
POINT (5.190852 50.875981 0.0)	NA	behouden	Zn_9019.1.4	Zandleemstreek	HOL buiten plan	27	eerste set	0.41405319812046	unclassified
POINT (5.176131 50.834678 0.0)	NA	behouden	Zn_9041.13	Zandleemstreek	HOL buiten plan	18	eerste set	0.710181757663207	unclassified
POINT (3.978657 50.76054 0.0)	NA	behouden	Zn_90455.1	Zandleemstreek	HOL binnen plan	16	eerste set	0.386961385811637	unclassified
POINT (3.548754 50.785218 0.0)	NA	vervanging	Zn_90653.4	Zandleemstreek	HOL binnen plan	60	reserve set	0.365287935964524	unclassified
POINT (3.564682 50.79655 0.0)	NA	behouden	Zn_90826.1	Zandleemstreek	OL binnen plan	6	eerste set	0.885977517534008	unclassified
POINT (3.779486 50.945282 0.0)	NA	behouden	Zn_91157.3	Zandleemstreek	HOL binnen plan	44	eerste set	0.512261017740081	track
POINT (4.994883 50.842955 0.0)	NA	behouden	Zn_91777.1	Zandleemstreek	HOL binnen plan	21	eerste set	0.478923037593451	tertiary
POINT (5.767253 51.062565 0.0)	NA	behouden	Zn_94452.3	Zandleemstreek	HOL binnen plan	3	eerste set	0.659384609584117	track
